"month";"mean"
"1990-ноя";0,2
"1990-дек";-3,4
"1991-янв";-6,2
"1991-фев";-6,7
"1991-мар";-1,2
"1991-апр";7
"1991-май";13,4
"1991-июн";18,8
"1991-июл";18,1
"1991-авг";16,1
"1991-сен";11
"1991-окт";6,5
"1991-ноя";1
"1991-дек";-4
"1992-янв";-5,3
"1992-фев";-4,3
"1992-мар";1,6
"1992-апр";5,1
"1992-май";11,9
"1992-июн";16,7
"1992-июл";18,6
"1992-авг";18
"1992-сен";13,1
"1992-окт";2,2
"1992-ноя";-2,5
"1992-дек";-4,4
"1993-янв";-4,4
"1993-фев";-4,9
"1993-мар";-1,9
"1993-апр";5,7
"1993-май";14,5
"1993-июн";14
"1993-июл";17,5
"1993-авг";15,4
"1993-сен";6,9
"1993-окт";4,6
"1993-ноя";-8
"1993-дек";-3,6
"1994-янв";-3,4
"1994-фев";-11,3
"1994-мар";-2,9
"1994-апр";7,2
"1994-май";9,8
"1994-июн";14,5
"1994-июл";17,6
"1994-авг";15,9
"1994-сен";13,7
"1994-окт";5
"1994-ноя";-2,5
"1994-дек";-7,9
"1995-янв";-5,9
"1995-фев";-0,8
"1995-мар";0,6
"1995-апр";9,1
"1995-май";14,5
"1995-июн";19,7
"1995-июл";17,5
"1995-авг";16,8
"1995-сен";12,8
"1995-окт";6,7
"1995-ноя";-2,8
"1995-дек";-9,5
"1996-янв";-10
"1996-фев";-9,7
"1996-мар";-3
"1996-апр";6,4
"1996-май";15,7
"1996-июн";16,5
"1996-июл";18,9
"1996-авг";17,3
"1996-сен";9,9
"1996-окт";6
"1996-ноя";3,9
"1996-дек";-7
"1997-янв";-7,7
"1997-фев";-4,7
"1997-мар";-0,9
"1997-апр";4,6
"1997-май";11,1
"1997-июн";17,9
"1997-июл";18,7
"1997-авг";17,1
"1997-сен";8,5
"1997-окт";3,7
"1997-ноя";-0,8
"1997-дек";-7,5
"1998-янв";-4,7
"1998-фев";-7,6
"1998-мар";-1,3
"1998-апр";3,9
"1998-май";13,7
"1998-июн";20
"1998-июл";18,9
"1998-авг";15,5
"1998-сен";10,7
"1998-окт";5,6
"1998-ноя";-8
"1998-дек";-5,9
"1999-янв";-4,6
"1999-фев";-6,2
"1999-мар";-0,8
"1999-апр";9,7
"1999-май";8,7
"1999-июн";21,4
"1999-июл";21,7
"1999-авг";16,4
"1999-сен";11,8
"1999-окт";7,4
"1999-ноя";-4,9
"1999-дек";-1,7
"2000-янв";-6,1
"2000-фев";-2,7
"2000-мар";-0,7
"2000-апр";11,1
"2000-май";10,8
"2000-июн";16,2
"2000-июл";19,3
"2000-авг";16,7
"2000-сен";10
"2000-окт";7,2
"2000-ноя";-0,1
"2000-дек";-2,6
"2001-янв";-4,3
"2001-фев";-7,2
"2001-мар";-2,1
"2001-апр";11
"2001-май";11,2
"2001-июн";16,3
"2001-июл";23
"2001-авг";17
"2001-сен";12,2
"2001-окт";4,8
"2001-ноя";-0,5
"2001-дек";-10,6
"2002-янв";-4,8
"2002-фев";-0,4
"2002-мар";2,2
"2002-апр";7,2
"2002-май";12,7
"2002-июн";17,3
"2002-июл";22,6
"2002-авг";17
"2002-сен";12
"2002-окт";2,6
"2002-ноя";-1,5
"2002-дек";-12,6
"2003-янв";-7,3
"2003-фев";-8,6
"2003-мар";-2,7
"2003-апр";4,7
"2003-май";15,5
"2003-июн";12,8
"2003-июл";20,6
"2003-авг";16,9
"2003-сен";11,3
"2003-окт";5,6
"2003-ноя";1,1
"2003-дек";-2,1
"2004-янв";-6,5
"2004-фев";-7
"2004-мар";1,3
"2004-апр";4,6
"2004-май";11,4
"2004-июн";15,3
"2004-июл";19
"2004-авг";18,4
"2004-сен";12,1
"2004-окт";5,9
"2004-ноя";-1,6
"2004-дек";-2,9
"2005-янв";-3
"2005-фев";-8,9
"2005-мар";-6
"2005-апр";7,1
"2005-май";14,8
"2005-июн";16,5
"2005-июл";19,3
"2005-авг";17,6
"2005-сен";13,1
"2005-окт";6
"2005-ноя";1,4
"2005-дек";-4,1
"2006-янв";-10,8
"2006-фев";-13,3
"2006-мар";-3,7
"2006-апр";6
"2006-май";12,4
"2006-июн";18,2
"2006-июл";18
"2006-авг";17,5
"2006-сен";13,3
"2006-окт";7
"2006-ноя";0,7
"2006-дек";1,2
"2007-янв";-1,6
"2007-фев";-11
"2007-мар";4,4
"2007-апр";5,8
"2007-май";15,9
"2007-июн";17,4
"2007-июл";18,9
"2007-авг";20,2
"2007-сен";11,8
"2007-окт";7
"2007-ноя";-2
"2007-дек";-2
"2008-янв";-5,8
"2008-фев";-1,5
"2008-мар";1,8
"2008-апр";9,4
"2008-май";11,3
"2008-июн";15,6
"2008-июл";19,1
"2008-авг";17,5
"2008-сен";10,9
"2008-окт";8,9
"2008-ноя";2,3
"2008-дек";-1,8
"2009-янв";-5,6
"2009-фев";-5,4
"2009-мар";-0,6
"2009-апр";5,1
"2009-май";13,6
"2009-июн";17,3
"2009-июл";18,8
"2009-авг";15,6
"2009-сен";13,8
"2009-окт";5,8
"2009-ноя";2,2
"2009-дек";-6,5
"2010-янв";-14,5
"2010-фев";-8,4
"2010-мар";-1,1
"2010-апр";8,3
"2010-май";16,7
"2010-июн";18,8
"2010-июл";26
"2010-авг";21,8
"2010-сен";11,7
"2010-окт";3,8
"2010-ноя";2,7
"2010-дек";-7,6
"2011-янв";-7,5
"2011-фев";-11
"2011-мар";-2
"2011-апр";6,4
"2011-май";14,6
"2011-июн";19
"2011-июл";23,4
"2011-авг";18,7
"2011-сен";12,1
"2011-окт";6,6
"2011-ноя";0,2
"2011-дек";-0,1
"2012-янв";-6,8
"2012-фев";-11,7
"2012-мар";-3,1
"2012-апр";8,2
"2012-май";15,1
"2012-июн";17,1
"2012-июл";20,9
"2012-авг";17,7
"2012-сен";12,9
"2012-окт";6,5
"2012-ноя";1,6
"2012-дек";-8,6
"2013-янв";-8,5
"2013-фев";-3,5
"2013-мар";-6,5
"2013-апр";6,1
"2013-май";16,9
"2013-июн";19,8
"2013-июл";18,9
"2013-авг";18,3
"2013-сен";10,3
"2013-окт";6,6
"2013-ноя";4
"2013-дек";-1,7
"2014-янв";-8,6
"2014-фев";-1,9
"2014-мар";2,8
"2014-апр";7
"2014-май";16
"2014-июн";16,1
"2014-июл";21,1
"2014-авг";19,2
"2014-сен";12,3
"2014-окт";3,7
"2014-ноя";-1,3
"2014-дек";-3,9
"2015-янв";-4,4
"2015-фев";-2,2
"2015-мар";2
"2015-апр";6,1
"2015-май";14,2
"2015-июн";17,9
"2015-июл";18,3
"2015-авг";17,6
"2015-сен";13,8
"2015-окт";4,4
"2015-ноя";0,8
"2015-дек";0,2
"2016-янв";-10,1
"2016-фев";-0,6
"2016-мар";0,3
"2016-апр";8,1
"2016-май";15
"2016-июн";18,2
"2016-июл";20,9
"2016-авг";19,5
"2016-сен";11,4
"2016-окт";4,4
"2016-ноя";-2,7
"2016-дек";-4,6
"2017-янв";-7,8
"2017-фев";-4,6
"2017-мар";2,4
"2017-апр";5,3
"2017-май";10,9
"2017-июн";14,4
"2017-июл";17,9
"2017-авг";18,8
"2017-сен";13
"2017-окт";5
"2017-ноя";0
"2017-дек";0
"2018-янв";-4,3
"2018-фев";-9,1
"2018-мар";-5,1
"2018-апр";7,8
"2018-май";16,2
"2018-июн";17,3
"2018-июл";20,5
"2018-авг";19,8
"2018-сен";14,6
"2018-окт";7,3
"2018-ноя";-0,6
"2018-дек";-5,6
"2019-янв";-6,6
"2019-фев";-1,4
"2019-мар";0,7
"2019-апр";8,1
"2019-май";16,3
"2019-июн";19,6
"2019-июл";16,8
"2019-авг";16,4
"2019-сен";12,3
"2019-окт";8,8
"2019-ноя";1,8
"2019-дек";0,8
"2020-янв";0,1
"2020-фев";-0,3
"2020-мар";3,8
"2020-апр";4,8
"2020-май";11,7
"2020-июн";18,9
"2020-июл";18,7
"2020-авг";17,6
"2020-сен";13,9
"2020-окт";9,2
"2020-ноя";2,2
"2020-дек";-4,4
